1,2,3
한마디,-,이거 마시고 힘내!
사자성어,我田引水 아전인수,자신의 이익을 먼저 생각하고 행동한다는 뜻
한마디,-,우유를 따듯하게 데워마시면 좋지
사자성어,甘言利說 감언이설,달콤한 말이나 이로운 이야기로 남을 현혹하는 뜻
한마디,-,부드러운 우유와 함께 빵을
사자성어,乾坤一擲 건곤일척,모든 것을 걸고 단 한 판에 승부를 겨룬다는 뜻
한마디,-,우유에는 잠이 잘 오게 해주는 성분이 들어있어
한마디,-,우유는 다른 음식과 같이 먹기 좋아
사자성어,殺身成仁 살신성인,자기를 희생하여 인(仁)을 이루다는 뜻
한마디,-,천천히 마시도록 하자
한마디,-,우유 한 잔에 담긴 추억 하나
사자성어,三顧草廬 삼고초려,인재를 맞이하기 위해 참을성 있게 노력한다는 뜻
사자성어,塞翁之馬 새옹지마,일어날 화나 복은 변화가 많아 예측하기 어렵다는 뜻
한마디,-,매울 때 우유를 먹으면 좋아
한마디,-,우유를 보면 하얀 눈 같아
사자성어,事必歸正 사필귀정,모든 일은 반드시 바른 대로 돌아간다는 뜻
한마디,-,힘들다면 조금 쉬는 것도 괜찮아
사자성어,山戰水戰 산전수전,여러 고생과 어려움을 겪었다는 뜻
한마디,-,언제나 밝은 하루를 보내길
사자성어,多多益善 다다익선,많으면 많을수록 좋다는 뜻
사자성어,結草報恩 결초보은,죽어서도 잊지 않고 은혜를 갚는다는 뜻
한마디,-,무엇을 하던 건강이 최고야
한마디,-,좋은 일만 가득하길!
사자성어,苦盡甘來 고진감래,고생 끝에 낙이 온다는 뜻
한마디,-,겨울에는 따뜻한 우유 한 잔
한마디,-,너무 많이 마시면 몸에 안 좋을 수도 있어
사자성어,聞一知十 문일지십,하나를 들으면 열을 안다는 것으로 총명하다는 뜻
사자성어,背恩忘德 배은망덕,은혜를 저버리고 덕을 잊어버린다는 뜻
한마디,-,우유 한 잔으로 속이 든든해져
사자성어,群鷄一鶴 군계일학,무리 중에서 뛰어난 인물이라는 뜻
한마디,-,씻은 후에 마시는 우유는 최고야
사자성어,錦衣還鄕 금의환향,타향에서 성공하여 고향으로 돌아온다는 뜻
사자성어,單刀直入 단도직입,여러 말을 하지 않고 곧바로 핵심을 말한다는 뜻
한마디,-,오늘 하루를 건강하고 활기차게
한마디,-,잠시 쉬어가는 휴식 시간
사자성어,管鮑之交 관포지교,우정이 두터운 친구 관계라는 뜻
사자성어,大器晩成 대기만성,크게 될 사람은 늦게 이루어진다는 뜻
한마디,-,"토스트, 베이컨, 계란후라이 그리고 우유"
한마디,-,하루의 시작은 우유와 함께
사자성어,錦上添花 금상첨화,겹경사로 좋은 일에 또 좋은 일이 더해진다는 뜻
한마디,-,우유와 커피는 어울리는 단짝이지
한마디,-,우유처럼 하얗게 하얗게
사자성어,捲土重來 권토중래,한번 실패후 힘을 회복하여 다시 도전한다는 뜻
한마디,-,우유병은 재활용 할 수 있어
사자성어,東問西答 동문서답,물음과는 상관없이 엉뚱한 대답을 한다는 뜻
사자성어,獨不將軍 독불장군,어떤 일이든지 혼자서 자기 생각대로 처리한다는 뜻
한마디,-,"초코, 딸기, 바나나 어떤 맛이 좋아?"
사자성어,同床異夢 동상이몽,겉으론 같이 하지만 속으론 다른 생각을 하고 있다는 뜻
한마디,-,우유 좋아 세상에서 제일 좋아
한마디,-,우유는 영어로 MILK
사자성어,燈下不明 등하불명,가까이 있는 것을 잘 찾지 못한다는 뜻
사자성어,馬耳東風 마이동풍,아무리 말해도 지나쳐 흘려버린다는 뜻
한마디,-,힘든 하루를 우유 한 잔과 함께
사자성어,莫上莫下 막상막하,우열을 가릴 수 없다는 뜻
사자성어,朝三暮四 조삼모사,간사한 꾀로 상대방을 속인다는 뜻
한마디,-,쿠키를 먹을 땐 우유를 잊지마
한마디,-,함께 나눠마시면 맛이 두 배
사자성어,五里霧中 오리무중,사건의 방향을 잡을 수 없다는 뜻
사자성어,吾鼻三尺 오비삼척,자신의 일이 급하여 남의 일을 볼 처지가 없다는 뜻
한마디,-,고양이에게는 고양이용 우유를 주자
한마디,-,오늘은 좋은 일이 있을 것 같아
사자성어,四面楚歌 사면초가,도움 받지 못하는 곤란한 지경에 빠졌다는 뜻
사자성어,先見之明 선견지명,미리 앞을 먼저 볼 줄 아는 지혜라는 뜻
사자성어,雪上加霜 설상가상,나쁜 일에 또 어려운 일이 더해진다는 뜻
한마디,-,건강한 맛! 자연 그대로 가득!
한마디,-,지방이 걱정될 땐 저지방 우유!
사자성어,束手無策 속수무책,손을 묶은 것처럼 일에 꼼짝 못한다는 뜻
사자성어,水魚之交 수어지교,매우 친밀하여 떨어질 수 없는 사이라는 뜻
한마디,-,오늘도 든든하게 시작하자
사자성어,言中有骨 언중유골,단순한 말처럼 보이지만 핵심이 들어 있다는 뜻
사자성어,易地思之 역지사지,입장을 바꿔서 생각을 해본다는 뜻
한마디,-,우유는 의외로 여러 가지 음식들에 들어가 있어
사자성어,烏飛梨落 오비이락,억울하게 의심을 받는다는 뜻
한마디,-,우유에는 풍부한 영양소가 들어있어
한마디,-,우유는 꼭 차갑게 보관해야 해
사자성어,雨後竹筍 우후죽순,어떤 일들이 때를 맞추어 한꺼번에 생겨난다는 뜻
사자성어,有口無言 유구무언,변명을 하지 못한다는 뜻
한마디,-,밤에 우유를 한 잔 마시면 잠이 잘 와
한마디,-,담백한 우유가 상큼한 요거트가 되지
사자성어,牛耳讀經 우이독경,아무리 충고 해도 알아듣지 못한다는 뜻
한마디,-,하늘에서 우유가 내리면 어떻게 될까?
한마디,-,우유 한 잔 더!
사자성어,龍頭蛇尾 용두사미,시작은 왕성하나 흐지부지 끝나 버린다는 뜻
사자성어,一石二鳥 일석이조,한번에 두가지 이익을 본다는 뜻
한마디,-,다양한 맛의 우유를 마셔보자
한마디,-,운동 후에는 시원한 우유 한 잔
사자성어,安貧樂道 안빈낙도,가난함을 편안한 마음으로 도를 즐긴다는 뜻
사자성어,弱肉强食 약육강식,약한 자는 강한 자에게 먹힌다는 뜻
한마디,-,우유를 발효시키면 맛있는 치즈가 되지
사자성어,羊頭狗肉 양두구육,겉보기에는 그럴듯하지만 속은 변변치 아니하다는 뜻
사자성어,漁父之利 어부지리,둘의 경쟁에 엉뚱한 사람이 이익을 본다는 뜻
한마디,-,우유를 마시면 뼈가 튼튼해져
한마디,-,씨리얼에 부어 먹으면 더 맛있어
사자성어,作心三日 작심삼일,마음 먹고 시작한 일을 3일도 못넘긴다는 뜻
한마디,-,우유는 맛있는 생크림을 만들 때도 사용돼
사자성어,好事多魔 호사다마,좋은 일에는 장애물이 많다는 뜻
한마디,-,우윳빛 구름 위로 날아가는 비행기를 봤어?
사자성어,去頭截尾 거두절미,곧바로 본론으로 들어간다는 뜻
한마디,-,우유를 항상 마실 필요는 없어
사자성어,改過遷善 개과천선,지난날의 잘못을 고쳐 올바르게 착한 일로 돌아간다는 뜻
